original_address1,latitude,longitude,housing_units,issue_date,status_current,home_flag,home_confidence,sb840_flag,sb840_confidence,sb15_flag,sb15_confidence
3515 WEBBERVILLE RD,,,1,2025-12-19,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
3100 S CONGRESS AVE BLDG 1 UNIT F,30.23180448,-97.75932452,1,2025-12-19,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1302 S 1ST ST,30.25146957,-97.75455205,1,2025-12-19,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1307 E BRAKER LN BLDG 2,,,1,2025-12-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3632 S CONGRESS AVE,30.22660988,-97.76223738,1,2025-12-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4402 S CONGRESS AVE,30.21736858,-97.767848,1,2025-12-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
817 W HOWARD LN BLDG A,30.42069815,-97.66509369,1,2025-12-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4716 E 5TH ST,30.25355794,-97.70184635,1,2025-12-22,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
4716 E 5TH ST,30.25355794,-97.70184635,1,2025-12-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,1,2025-12-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5111 BURNET RD,,,1,2025-12-22,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
817 W HOWARD LN BLDG B,30.42069815,-97.66509369,1,2025-12-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2246 GUADALUPE ST,30.28613958,-97.7421124,1,2025-12-26,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
809 JOHNNY LIMON WAY,30.25280484,-97.68771518,1,2025-12-29,Active,HOME (matched to Plan Review Case),high,,,,
805 JOHNNY LIMON WAY,30.25264292,-97.68773228,1,2025-12-29,Active,HOME (matched to Plan Review Case),high,,,,
801 JOHNNY LIMON WAY,30.25247557,-97.68775271,1,2025-12-29,Active,HOME (matched to Plan Review Case),high,,,,
4812 GONZALES ST BLDG GAR,,,1,2025-12-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2324 S LAMAR BLVD BLDG 1,30.24756787,-97.77586807,1,2026-01-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5811 BERKMAN DR BLDG H,,,1,2026-01-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2607 S 1ST ST,30.2390134,-97.7612578,1,2026-01-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1505 W BRAKER LN BLDG B,30.3876986,-97.69941957,1,2026-01-05,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
9500 S IH 35 SVRD SB BLDG K,,,1,2026-01-05,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
3702 MEREDITH ST,30.29971991,-97.77961756,2,2026-01-05,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
166 W SLAUGHTER LN,30.16754737,-97.79186506,1,2026-01-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2416 VISTA LN,30.29510288,-97.76506545,2,2026-01-06,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1111 W 6TH ST BLDG A UNIT 420,30.27207507,-97.75605807,1,2026-01-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
913 CAPITOL CT BLDG 2,30.31901769,-97.73344347,1,2026-01-07,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2001 MELRIDGE PL BLDG 5,,,1,2026-01-07,Active,HOME (matched to Plan Review Case),high,,,,
2001 MELRIDGE PL BLDG 6,,,1,2026-01-07,Active,HOME (matched to Plan Review Case),high,,,,
2001 MELRIDGE PL BLDG 4,,,1,2026-01-07,Active,HOME (matched to Plan Review Case),high,,,,
9001 BRODIE LN BLDG C UNIT 6,30.1939576,-97.84262806,1,2026-01-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2113 WILSON ST,,,1,2026-01-12,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2805 BONNIE RD BLDG 1,,,1,2026-01-12,Active,HOME (matched to Plan Review Case),high,,,,
2805 BONNIE RD BLDG 2,,,1,2026-01-12,Active,HOME (matched to Plan Review Case),high,,,,
1660 E 51ST ST,,,1,2026-01-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
83 SAN SABA ST,30.25241629,-97.71593085,1,2026-01-14,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
4701 WEST GATE BLVD BLDG E,30.22868908,-97.80088844,1,2026-01-14,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1300 MC KIE DR BLDG 1,30.33069981,-97.69246573,1,2026-01-14,On Hold,HOME (matched to Plan Review Case),high,,,,
407 TILLERY ST,,,1,2026-01-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1714 E PARMER LN BLDG A,,,1,2026-01-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
12901 N IH 35 SVRD NB BLDG 21,30.41525799,-97.67013132,1,2026-01-19,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1610 W NORTH LOOP BLVD,30.32595562,-97.73908694,1,2026-01-20,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
4604 DEPEW AVE,30.30615232,-97.71779851,1,2026-01-22,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1204 CANTERBURY ST,30.25840084,-97.73266789,2,2026-01-22,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1307 E 30TH ST,30.28664033,-97.72112243,1,2026-01-22,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1712 S CONGRESS AVE,30.24666552,-97.75104052,1,2026-01-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
10600 BECKWOOD DR,30.44096513,-97.82589958,2,2026-01-23,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
7015 E WILLIAM CANNON DR,30.16345002,-97.7273355,1,2026-01-26,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
609 W STASSNEY LN,30.20791166,-97.78126874,1,2026-01-27,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
113 KIMBLE LN,30.24429711,-97.68541087,1,2026-01-27,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
937 REINLI ST,30.31852376,-97.70960425,2,2026-01-28,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1710 S 5TH ST BLDG 1,,,1,2026-01-29,Active,HOME (matched to Plan Review Case),high,,,,
1710 S 5TH ST BLDG 3,,,1,2026-01-29,Active,HOME (matched to Plan Review Case),high,,,,
1710 S 5TH ST BLDG 2,,,1,2026-01-29,Active,HOME (matched to Plan Review Case),high,,,,
3419 DAVIS LN,30.19479574,-97.84202707,1,2026-01-29,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
10901 RESEARCH BLVD SVRD NB,30.40102212,-97.7448628,1,2026-01-29,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2246 GUADALUPE ST,30.28613958,-97.7421124,1,2026-02-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3808 W 35TH ST,30.3134215,-97.77435099,2,2026-02-02,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2307 MANOR RD,,,1,2026-02-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3808 W 35TH ST,30.3134215,-97.77435099,2,2026-02-02,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3808 W 35TH ST,30.3134215,-97.77435099,2,2026-02-02,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2525 W ANDERSON LN,30.35547011,-97.73354236,1,2026-02-04,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2114 W 11TH ST,30.28397932,-97.76788713,2,2026-02-05,Active,HOME (matched to Plan Review Case),high,,,,
3230 TRAVIS COUNTRY CIR,30.25411108,-97.84416202,2,2026-02-05,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
300 FERGUSON DR BLDG 8,30.37632539,-97.68510677,1,2026-02-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
300 FERGUSON DR BLDG 6,30.37632539,-97.68510677,1,2026-02-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1144 AIRPORT BLVD,,,1,2026-02-08,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
6405 BERKMAN DR,,,104,2026-02-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3307 LAFAYETTE AVE,30.28988448,-97.71836295,2,2026-02-09,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3850 AIRPORT BLVD,,,1,2026-02-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5707 SOUTHWEST PKWY BLDG 1,30.24410742,-97.84454025,1,2026-02-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG D,,,2,2026-02-10,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5707 SOUTHWEST PKWY BLDG 1,30.24410742,-97.84454025,1,2026-02-10,VOID,,,"SB840 (possible, has overlay -- verify)",medium,,
5707 SOUTHWEST PKWY BLDG 1,30.24410742,-97.84454025,1,2026-02-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6414 ED BLUESTEIN BLVD SB,,,1,2026-02-11,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2700 W ANDERSON LN,30.35905882,-97.73460323,1,2026-02-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11200 MENCHACA RD BLDG 3 UNIT 305,,,1,2026-02-11,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
959 REINLI ST,30.31896089,-97.70852083,1,2026-02-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2014 E 10TH ST,30.26458316,-97.71859199,1,2026-02-12,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
4518 MERLE DR,30.22670739,-97.78929486,1,2026-02-12,Active,HOME (matched to Plan Review Case),high,,,,
4518 MERLE DR BLDG 2,,,1,2026-02-12,Active,HOME (matched to Plan Review Case),high,,,,
1708 S CONGRESS AVE,30.24679126,-97.75100232,3,2026-02-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1111 W 6TH ST BLDG A UNIT 310,30.27207507,-97.75605807,1,2026-02-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
13450 N US 183 HWY SVRD SB,,,5,2026-02-17,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
7009 E WILLIAM CANNON DR,30.16359716,-97.7280785,1,2026-02-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4114 RED RIVER ST,,,1,2026-02-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2501 E 7TH ST,30.26052362,-97.71374355,1,2026-02-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5007 EILERS AVE,30.31225079,-97.71743985,1,2026-02-17,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
5516 HUMMING BIRD LN,,,104,2026-02-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4114 RED RIVER ST,,,2,2026-02-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
810 W GIBSON ST,30.2529272,-97.75673707,1,2026-02-18,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
4200 W BRAKER LN BLDG A,,,2,2026-02-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
12129 N FM 620 RD BLDG C UNIT 401,,,1,2026-02-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5203 RATON PASS,30.31219847,-97.65892292,2,2026-02-18,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
11410 JOLLYVILLE RD BLDG 1,,,1,2026-02-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
853 AIRPORT BLVD,,,1,2026-02-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1201 VIOLA LEE LN,30.18674687,-97.8074171,1,2026-02-19,Final,HOME (matched to Plan Review Case),high,,,,
1304 SWEET BARK ST,30.18673512,-97.80765801,1,2026-02-19,Final,HOME (matched to Plan Review Case),high,,,,
11630 FOUR IRON DR,30.43283797,-97.7788961,1,2026-02-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3808 W 35TH ST,30.3134215,-97.77435099,2,2026-02-20,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
502 W OLTORF ST,30.24160594,-97.75805912,1,2026-02-20,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
136 FREDERICK ST,30.23130247,-97.76171654,2,2026-02-20,Active,HOME (matched to Plan Review Case),high,,,,
9900 S IH 35 SVRD SB BLDG M UNIT 700,,,1,2026-02-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
7710 N FM 620 RD BLDG 13C UNIT 240,,,1,2026-02-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG F UNIT 2,,,1,2026-02-23,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG F UNIT 1,,,1,2026-02-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
4422 HANK AVE,30.22354089,-97.78081777,3,2026-02-24,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
5555 N LAMAR BLVD BLDG D UNIT 105,,,1,2026-02-24,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
10901 N LAMAR BLVD,30.37829667,-97.6877363,1,2026-02-24,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
6802 LOST VALLEY,30.21419425,-97.82670979,2,2026-02-25,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4413 GILLIS ST BLDG 3,,,2,2026-02-25,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
11001 LAKELINE BLVD BLDG 1 UNIT 300,30.4800554,-97.7945502,1,2026-02-25,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
11800 DESSAU RD BLDG 3 UNIT 300,,,1,2026-02-26,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
3601 S CONGRESS AVE BLDG F,30.2268396,-97.76025496,1,2026-02-26,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
205 E RIVERSIDE DR,,,1,2026-02-27,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
4607 AVENUE B BLDG B,30.31234579,-97.72940081,2,2026-03-01,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
12900 N IH 35 SVRD SB,,,1,2026-03-02,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
914 KOERNER LN,30.25778062,-97.69066468,1,2026-03-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3700 CONVICT HILL RD,30.21195995,-97.8345355,3,2026-03-03,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4801 1/2 FAIRVIEW DR,,,2,2026-03-03,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
5800 WOODVIEW AVE,30.33461729,-97.74443447,2,2026-03-04,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
7930 W US 290 HWY,,,1,2026-03-04,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2909 E 12TH ST,30.27566883,-97.70684288,1,2026-03-04,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
4706 E 5TH ST,30.25334222,-97.70085112,1,2026-03-04,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4701 BOLM RD,,,2,2026-03-05,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
7797 BURNET RD,,,1,2026-03-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
813 PARK BLVD,30.30137434,-97.72195027,2,2026-03-09,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
7112 ED BLUESTEIN BLVD SVRD SB,,,1,2026-03-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
9900 S IH 35 SVRD SB BLDG A UNIT 200,,,1,2026-03-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 SAN GABRIEL ST,30.29856518,-97.74685637,1,2026-03-11,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
607 BLANCO ST,30.27317597,-97.75664341,1,2026-03-12,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2808 GUADALUPE ST,30.2938163,-97.74227395,1,2026-03-12,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1316 S CONGRESS AVE,30.25066167,-97.74967281,1,2026-03-12,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2710 GERAGHTY AVE,30.34679685,-97.74217005,2,2026-03-13,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2710 GERAGHTY AVE,30.34679685,-97.74217005,2,2026-03-13,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2819 RIO GRANDE ST,30.29507122,-97.74367283,1,2026-03-13,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1105 MAUFRAIS ST,30.27866911,-97.7569531,1,2026-03-13,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
7013 E WILLIAM CANNON DR BLDG CP2,,,1,2026-03-16,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
3525 FAR WEST BLVD,30.35240745,-97.75321398,1,2026-03-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7013 E WILLIAM CANNON DR BLDG CP3,,,1,2026-03-16,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG D UNIT 1,,,2,2026-03-16,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2501 E 7TH ST,30.26052362,-97.71374355,1,2026-03-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7013 E WILLIAM CANNON DR BLDG CP1,,,1,2026-03-16,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
507 ALLEN ST BLDG 2,,,2,2026-03-17,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
507 ALLEN ST BLDG 1,,,2,2026-03-17,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1000 E 41ST ST,30.30046387,-97.71965158,1,2026-03-17,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
7734 MC KINNEY FALLS PKWY,30.15650271,-97.730444,1,2026-03-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3027 N LAMAR BLVD,30.2998767,-97.74601932,2,2026-03-18,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1612 S CONGRESS AVE,,,1,2026-03-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1004 W 32ND ST,,,1,2026-03-20,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
14199 N IH 35 SVRD NB,,,1,2026-03-25,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2815 RIO GRANDE ST,30.29475062,-97.74345958,1,2026-03-25,Active,,,"SB840 (by-right, no overlay/case on record)",high,,
2802 SAN PEDRO ST,30.29371275,-97.74599756,2,2026-03-27,Active,HOME (matched to Plan Review Case),high,,,,
401 1/2 E OLTORF ST,,,1,2026-03-27,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1610 W NORTH LOOP BLVD,30.32595562,-97.73908694,1,2026-03-30,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1602 CANTERBURY ST,30.25679392,-97.72911214,1,2026-03-30,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1706 PAYTON GIN RD,30.36590303,-97.71667606,176,2026-03-31,Active,,,"SB840 (by-right, no overlay/case on record)",high,,
5467 N IH 35 SVRD NB,30.31571976,-97.70550862,1,2026-03-31,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5350 BURNET RD,,,1,2026-03-31,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
905 W LIVE OAK ST,30.24574907,-97.76249755,1,2026-03-31,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2129 E 7TH ST,30.26139275,-97.71845661,1,2026-04-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5300 S MOPAC EXPY SB,30.23398785,-97.8279666,1,2026-04-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 1,30.36652906,-97.69300392,1,2026-04-01,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5800 BURNET RD,,,1,2026-04-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4511 VINSON DR BLDG 1,30.22007876,-97.77753332,2,2026-04-03,Active,HOME (matched to Plan Review Case),high,,,,
300 BOWIE ST,30.26878119,-97.75392169,1,2026-04-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7112 ED BLUESTEIN BLVD SVRD SB,,,1,2026-04-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6000 MOUNTAIN SHADOWS DR,30.25656793,-97.89353315,1,2026-04-06,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2207 DE VERNE ST,30.24999583,-97.7799759,1,2026-04-07,Active,HOME (matched to Plan Review Case),high,,,,
9509 E PARMER LN,,,1,2026-04-07,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2004 E 8TH ST,30.26314876,-97.72000274,1,2026-04-07,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
812 E 45TH HALF ST,30.30602574,-97.7195485,1,2026-04-08,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
900 CHICON ST,30.2646673,-97.72136842,1,2026-04-08,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
7640 GUADALUPE ST,30.34377644,-97.71169841,1,2026-04-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
104 MEDINA,30.26066171,-97.73362084,2,2026-04-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4705 BOLM RD,,,2,2026-04-09,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2214 S 1ST ST,30.24373927,-97.75842353,1,2026-04-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
4200 W BRAKER LN BLDG A,,,1,2026-04-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1167 NICKOLS AVE BLDG 2,,,1,2026-04-09,Active,HOME (matched to Plan Review Case),high,,,,
701 W LONGSPUR BLVD BLDG 7,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 20,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 2,30.36652906,-97.69300392,2,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 24,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 12,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 8,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 19,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5707 SOUTHWEST PKWY BLDG GAR,30.24410742,-97.84454025,1,2026-04-13,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
823 TILLERY ST,,,1,2026-04-13,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 9,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 4,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 10,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 15,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 17,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1011 S CONGRESS AVE BLDG 2 UNIT 145,30.25349256,-97.74794018,1,2026-04-13,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3820 S CONGRESS AVE BLDG 2,30.22535364,-97.76295492,2,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 22,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 21,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 3,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 11,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 18,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 23,30.36652906,-97.69300392,1,2026-04-13,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5707 SOUTHWEST PKWY,30.24410742,-97.84454025,1,2026-04-14,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2000 E 4TH ST,30.25936376,-97.72173051,1,2026-04-14,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1111 W 6TH ST BLDG A UNIT 100,30.27207507,-97.75605807,1,2026-04-14,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 5,30.36652906,-97.69300392,1,2026-04-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
11415 1/2 ZIMMERMAN LN,,,1,2026-04-15,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
701 W LONGSPUR BLVD BLDG 6,30.36652906,-97.69300392,1,2026-04-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
12800 PEARCE LN,,,1,2026-04-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1801 W PARMER LN,,,1,2026-04-17,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1906 HETHER ST,30.25248528,-97.77269339,2,2026-04-17,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
8105 ERMIS FARM RD,,,1,2026-04-17,Active,HOME (matched to Plan Review Case),high,,,,
701 W LONGSPUR BLVD,30.36652906,-97.69300392,1,2026-04-17,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2405 E 10TH ST,30.26505026,-97.71574042,1,2026-04-18,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
3309 KERBEY LN,30.30517942,-97.75106918,2,2026-04-21,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
6414 ED BLUESTEIN BLVD SB,,,1,2026-04-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5707 SOUTHWEST PKWY BLDG 1 UNIT EV,,,1,2026-04-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3309 KERBEY LN,30.30517942,-97.75106918,2,2026-04-21,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
9509 E PARMER LN,,,1,2026-04-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
605 E 46TH ST BLDG B,30.30770753,-97.72177255,2,2026-04-21,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
